model,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,tp,fp,fn,tn,missed_at_risk,false_alarms,cv_mean,cv_std
Logistic_Regression,0.572463768115942,0.4393939393939394,0.5686274509803921,0.49572649572649574,0.6098715348208249,0.5716700473292765,29,37,22,50,22,37,0.6811283391405343,0.03297139322246595
RandomForest,0.6594202898550725,0.5588235294117647,0.37254901960784315,0.4470588235294118,0.6303808879873789,0.6000676132521974,19,15,32,72,32,15,0.6473250265111345,0.033373587350414444
GradientBoosting,0.6014492753623188,0.45,0.35294117647058826,0.3956043956043956,0.6396213657876944,0.5500338066260987,18,22,33,65,33,22,0.6318830227743272,0.032559760815357545
XGBoost,0.6014492753623188,0.45652173913043476,0.4117647058823529,0.4329896907216495,0.6141537074599954,0.5622041920216363,21,25,30,62,30,25,0.651730899358683,0.0063675155674508405
LightGBM,0.644927536231884,0.5208333333333334,0.49019607843137253,0.5050505050505051,0.6222672977236872,0.6129141311697093,25,23,26,64,26,23,0.6294898500227238,0.02148621244773091
CatBoost_Balanced,0.572463768115942,0.43103448275862066,0.49019607843137253,0.45871559633027525,0.6042370971377057,0.5554428668018931,25,33,26,54,26,33,0.6591824976013736,0.04697125368021598
CatBoost_Scaled,0.572463768115942,0.43103448275862066,0.49019607843137253,0.45871559633027525,0.6042370971377057,0.5554428668018931,25,33,26,54,26,33,0.6602296116749987,0.0376026958504898
